regime,metric,mean,ci_low,ci_high,n
balanced,balanced_decode_acc,0.6990322161296882,0.6700678585426921,0.7261385983660554,32
balanced,posterior_entropy,0.45892522854242646,0.4311993025436645,0.4871325118431532,32
balanced,plv,0.47252038262355867,0.4573601811512423,0.48652647244426794,32
balanced,phase_slip_rate,0.12252676908752325,0.11949324226024206,0.12553547267807258,32
balanced,boundary_phase_slip_rate,0.13080150462962958,0.12540292245370366,0.1360988136574074,32
balanced,loop_instability,0.7717924028545057,0.7634905494946841,0.7800490368659784,32
balanced,boundary_loop_instability,0.7916550424141295,0.7790504198265633,0.8042180726612106,32
balanced,transition_latency,4.625,4.104079861111111,5.142447916666666,32
balanced,update_failure_rate,0.04861111111111111,0.027777777777777776,0.07291666666666666,32
balanced,perseveration_after_switch,1.3645833333333333,1.0694444444444444,1.6911458333333331,32
balanced,precision_phase_margin,1.1641084119970986,1.0131328239970172,1.3117611474686732,32
balanced,adaptive_margin,1.8975059132565206,1.7306714729012052,2.074704075706615,32
balanced,flexibility_index,0.733397501259422,0.6130131322380455,0.8533406754377177,32
hypo_support,balanced_decode_acc,0.48372233217768257,0.463811791283926,0.5037112866401253,32
hypo_support,posterior_entropy,0.583554587815349,0.5511199415072856,0.6157353433514884,32
hypo_support,plv,0.1836484250255137,0.1791757411129784,0.1882860974124012,32
hypo_support,phase_slip_rate,0.40029242318435754,0.3952836759485568,0.4058245497264897,32
hypo_support,boundary_phase_slip_rate,0.4761140046296296,0.4693833188657407,0.48290219907407406,32
hypo_support,loop_instability,1.4135943273477007,1.3913189904239802,1.4363759677956995,32
hypo_support,boundary_loop_instability,1.686938244266707,1.6471675519375446,1.7290338290695249,32
hypo_support,transition_latency,7.496527777777779,6.628298611111112,8.33359375,32
hypo_support,update_failure_rate,0.13194444444444445,0.09375,0.1736111111111111,32
hypo_support,perseveration_after_switch,1.9791666666666665,1.5519965277777779,2.427170138888889,32
hypo_support,precision_phase_margin,-2.5482258683067265,-2.65321158721868,-2.4324882212265635,32
hypo_support,adaptive_margin,-2.5787682611353975,-2.8434417206270197,-2.3268706165852304,32
hypo_support,flexibility_index,-0.030542392828670495,-0.28353394198578674,0.20110942062004614,32
over_stabilization,balanced_decode_acc,0.7222437566877962,0.695613292028927,0.7486276284548331,32
over_stabilization,posterior_entropy,0.3659384961553154,0.33506946036873547,0.399999445591217,32
over_stabilization,plv,0.5845538238562867,0.5625956106858228,0.6060954173293813,32
over_stabilization,phase_slip_rate,0.08687587290502789,0.08345963177956235,0.09112501091131281,32
over_stabilization,boundary_phase_slip_rate,0.09706307870370365,0.09138997395833329,0.10273546006944441,32
over_stabilization,loop_instability,0.7133670213626933,0.7048998954460258,0.7210942877662401,32
over_stabilization,boundary_loop_instability,0.7289221496489301,0.7129003960616773,0.7444904458003687,32
over_stabilization,transition_latency,10.197916666666666,9.190624999999999,11.10078125,32
over_stabilization,update_failure_rate,0.22916666666666663,0.1875,0.26736111111111105,32
over_stabilization,perseveration_after_switch,4.524305555555555,3.871440972222222,5.187586805555555,32
over_stabilization,precision_phase_margin,1.9870771871536443,1.7612639717614542,2.1964828524314446,32
over_stabilization,adaptive_margin,1.0611377458221634,0.733952428079695,1.3709603282919667,32
over_stabilization,flexibility_index,-0.9259394413314813,-1.1759388852437418,-0.6679830987998697,32
mistimed_support,balanced_decode_acc,0.6656970813873534,0.639762992899911,0.6930367517278575,32
mistimed_support,posterior_entropy,0.44327784909027335,0.41178050960707474,0.47609042262192186,32
mistimed_support,plv,0.4334077984320454,0.41963320094313533,0.4477684254931366,32
mistimed_support,phase_slip_rate,0.1358713047020484,0.13174291855796086,0.14040450055283982,32
mistimed_support,boundary_phase_slip_rate,0.1745515046296296,0.16812644675925925,0.1817737268518518,32
mistimed_support,loop_instability,0.7898539937493321,0.7804493373449805,0.7999707344191328,32
mistimed_support,boundary_loop_instability,0.8538440709006254,0.8354766684809909,0.8735004290586991,32
mistimed_support,transition_latency,6.253472222222221,5.301649305555556,7.173697916666666,32
mistimed_support,update_failure_rate,0.09027777777777778,0.059027777777777776,0.12161458333333326,32
mistimed_support,perseveration_after_switch,2.0555555555555554,1.652690972222222,2.5138888888888884,32
mistimed_support,precision_phase_margin,0.7883457544305685,0.6603175920815633,0.9253583499824388,32
mistimed_support,adaptive_margin,1.1003924969749839,0.883226998884074,1.3046434884111466,32
mistimed_support,flexibility_index,0.31204674254441533,0.10356645151149982,0.5128765200687756,32
reactive_noise,balanced_decode_acc,0.5682195562328041,0.5439950213024561,0.5931114068685981,32
reactive_noise,posterior_entropy,0.5182568711588087,0.48423870344679554,0.5528953477593059,32
reactive_noise,plv,0.2543260923132381,0.242558795263589,0.26564906913978326,32
reactive_noise,phase_slip_rate,0.2890479515828678,0.27508428989175976,0.30203259572858465,32
reactive_noise,boundary_phase_slip_rate,0.358449074074074,0.3386830873842592,0.37909143518518507,32
reactive_noise,loop_instability,1.1972347087431447,1.1597729901740272,1.2382337270774075,32
reactive_noise,boundary_loop_instability,1.4332078369398764,1.371838292243636,1.5025708078114886,32
reactive_noise,transition_latency,7.402777777777779,6.451302083333333,8.513975694444445,32
reactive_noise,update_failure_rate,0.13194444444444445,0.09027777777777778,0.17022569444444438,32
reactive_noise,perseveration_after_switch,2.642361111111111,2.1144965277777774,3.153038194444444,32
reactive_noise,precision_phase_margin,-1.3534192908872464,-1.5569064565875874,-1.15600036642405,32
reactive_noise,adaptive_margin,-1.442381700530932,-1.8241210112283648,-1.0896731568350708,32
reactive_noise,flexibility_index,-0.0889624096436855,-0.36854173280227437,0.17620240629599737,32
