seed,regime,precision_phase_margin,adaptive_margin,flexibility_index,balanced_decode_acc,phase_slip_rate,transition_latency
20260618,balanced,1.14353112281671,1.7823953802022119,0.638864257385502,0.6569441764815657,0.12107192737430168,4.736111111111111
20260618,hypo_support,-2.594199242230646,-2.4972076768890785,0.0969915653415678,0.46599427284264927,0.3996304702048417,7.347222222222223
20260618,over_stabilization,1.9545597770311123,0.9077035213524784,-1.0468562556786338,0.6748647291437206,0.09430283985102421,10.319444444444445
20260618,mistimed_support,0.8681708103242339,1.398958446253705,0.5307876359294711,0.6549831766944143,0.13394727653631286,5.402777777777778
20260618,reactive_noise,-1.2978876904261578,-1.517674893404065,-0.2197872029779071,0.5615304252215625,0.2869529795158287,8.5
20260619,balanced,1.3285858503865475,1.970077761498271,0.6414919111117233,0.7382335178999648,0.12121741154562383,4.138888888888889
20260619,hypo_support,-2.495700683441093,-2.3711698763708844,0.12453080707020832,0.5103827153055569,0.40149266759776536,7.041666666666667
20260619,over_stabilization,1.8507672020177892,0.7785136919457426,-1.0722535100720465,0.730134942444981,0.09331354748603352,10.25
20260619,mistimed_support,0.8297608061386098,1.3169233266179787,0.4871625204793689,0.6859171113144674,0.13132856145251398,4.986111111111111
20260619,reactive_noise,-1.4636322040939724,-1.6445639326832258,-0.18093172858925327,0.5822678467338652,0.29848987430167595,7.861111111111111
20260620,balanced,1.1172834771080888,1.6957242615706838,0.5784407844625948,0.7325189399588379,0.11987895716945995,4.375
20260620,hypo_support,-2.606004531628655,-2.4732928464876385,0.13271168514101625,0.5226445875129796,0.4028020251396648,7.111111111111112
20260620,over_stabilization,2.0996637678470016,1.000846930591178,-1.0988168372558236,0.7636236945289611,0.09308077281191807,10.541666666666666
20260620,mistimed_support,1.0384988447432042,1.3891071081598427,0.3506082634166387,0.7354909423337201,0.13214327281191807,5.722222222222222
20260620,reactive_noise,-1.4331040170274347,-1.3960479127918615,0.037056104235573456,0.5777183251233746,0.2894844040968343,6.638888888888889
20260621,balanced,1.1011078420784703,1.719923156353906,0.6188153142754357,0.7188726489039127,0.1180895018621974,4.652777777777778
20260621,hypo_support,-2.535206970972987,-2.3745530749106023,0.160653896062385,0.486832396155468,0.4042859636871508,7.166666666666667
20260621,over_stabilization,1.9221575038331802,0.8802037023447244,-1.0419538014884557,0.7418646209442407,0.09178596368715083,11.069444444444445
20260621,mistimed_support,1.01982617962366,1.3630298454292957,0.34320366580563577,0.7081282843776732,0.12936452513966482,6.263888888888889
20260621,reactive_noise,-1.321072622482499,-1.4017916971374993,-0.08071907465500047,0.5680561840308334,0.3020687849162011,7.444444444444445
20260622,balanced,1.1170283263710827,1.8394349031732502,0.7224065768021675,0.690106777305011,0.11846776070763501,4.541666666666667
20260622,hypo_support,-2.428641703481325,-2.467142489681726,-0.038500786200400816,0.4758486624849837,0.4081849394785847,7.722222222222222
20260622,over_stabilization,2.065700709309091,1.2171757340742244,-0.8485249752348668,0.7583918991971419,0.08858531191806332,10.402777777777779
20260622,mistimed_support,0.8609804298799157,1.0969308303351444,0.23595040045522864,0.6530284283124618,0.1293499767225326,6.763888888888888
20260622,reactive_noise,-1.439073295617426,-1.5104045114395541,-0.07133121582212817,0.5482331611247279,0.2896589851024209,7.472222222222222
20260623,balanced,1.2715667246086126,1.9641007650288598,0.6925340404202471,0.7773475786526868,0.11574720670391062,4.555555555555555
20260623,hypo_support,-2.6615251734973366,-2.7736414822633546,-0.11211630876601784,0.5385872527315747,0.4064245810055866,7.805555555555556
20260623,over_stabilization,2.0385743714825053,1.2343669626364866,-0.8042074088460189,0.8024307375789895,0.08830889199255121,9.875
20260623,mistimed_support,0.855939980293238,1.0835928811308684,0.2276529008376302,0.730651994720381,0.1308048184357542,6.791666666666667
20260623,reactive_noise,-1.3513939354659934,-1.3552571591118339,-0.0038632236458405293,0.6255196266852199,0.2889752094972067,7.208333333333333
20260624,balanced,1.114555031366036,1.896994688397617,0.7824396570315809,0.7486466068718846,0.11551443202979517,4.555555555555555
20260624,hypo_support,-2.3723464792444364,-2.588652688049027,-0.21630620880459028,0.4848653893929469,0.4044896415270019,8.083333333333334
20260624,over_stabilization,1.9129336267561574,1.1662345239873475,-0.74669910276881,0.7982401039628666,0.08691224394785847,9.958333333333334
20260624,mistimed_support,0.7896136386015397,0.9778910069776522,0.18827736837611248,0.7019448807640021,0.1318086592178771,7.180555555555555
20260624,reactive_noise,-1.3142033715500103,-1.3219150853843034,-0.007711713834293036,0.5727321290913565,0.29750058193668527,7.319444444444445
20260625,balanced,1.1053790097501135,1.9534332034171937,0.8480541936670802,0.7270185264353557,0.11824953445065177,4.277777777777778
20260625,hypo_support,-2.233260283403237,-2.5368717595587347,-0.3036114761554983,0.4790640232130915,0.4077193901303538,8.48611111111111
20260625,over_stabilization,1.9423364168486281,1.429217679932727,-0.5131187369159012,0.783710645576989,0.08489001396648044,9.0
20260625,mistimed_support,0.8933857586780076,0.9099210174187413,0.01653525874073361,0.717416573767725,0.13079027001862198,8.36111111111111
20260625,reactive_noise,-1.6041494717199238,-1.6520087110563382,-0.04785923933641423,0.5577565522638923,0.30883379888268153,7.472222222222221
