regime,subject,full_plv,scrambled_plv,delta_plv,full_pac,scrambled_pac,delta_pac,full_phase_slip_rate,scrambled_phase_slip_rate,delta_phase_slip_rate,full_boundary_phase_slip_rate,scrambled_boundary_phase_slip_rate,delta_boundary_phase_slip_rate,full_loop_instability,scrambled_loop_instability,delta_loop_instability,full_boundary_loop_instability,scrambled_boundary_loop_instability,delta_boundary_loop_instability
balanced,0,0.44447570608296,0.33559320294506784,0.10888250313789216,0.0034177656914315575,0.0020891274921481795,0.001328638199283378,0.12092644320297952,0.1261638733705773,-0.005237430167597784,0.13935185185185184,0.12546296296296297,0.013888888888888867,0.7606355944651226,0.809440718159171,-0.048805123694048325,0.7913549350334752,0.7784795769663502,0.012875358067125031
balanced,1,0.5021961773868577,0.3569155134577544,0.14528066392910333,0.0035360330157021167,0.002352315421917526,0.0011837175937845909,0.1298882681564246,0.14548417132216016,-0.015595903165735558,0.15231481481481482,0.1421296296296296,0.010185185185185214,0.7944071981902232,0.8321735471961693,-0.03776634900594611,0.7938265845555108,0.8382499101893517,-0.04442332563384088
balanced,2,0.42980573144994777,0.34711204405325896,0.08269368739668881,0.003544637419443706,0.002242412424683926,0.00130222499475978,0.12779329608938547,0.13500931098696461,-0.007216014897579143,0.1439814814814815,0.13564814814814816,0.008333333333333331,0.7688305029934505,0.8083160824924729,-0.03948557949902243,0.8115637267325977,0.822586163833525,-0.011022437100927318
balanced,3,0.45103257496822685,0.38326217736001306,0.0677703976082138,0.003019662141461468,0.0018815173429204282,0.00113814479854104,0.11964618249534452,0.13233240223463685,-0.012686219739292334,0.12638888888888888,0.13703703703703704,-0.010648148148148157,0.7368422336927489,0.7706848180907604,-0.033842584398011466,0.7952105021992627,0.7975443425438389,-0.002333840344576177
balanced,4,0.41634224674423903,0.3196083801678783,0.09673386657636074,0.004096085864989723,0.0023478900040845027,0.0017481958609052205,0.1266294227188082,0.13617318435754192,-0.009543761638733717,0.12453703703703704,0.13888888888888887,-0.014351851851851824,0.7795907360436076,0.814207190624549,-0.034616454580941425,0.7729235502858761,0.7817925736939759,-0.008869023408099808
balanced,5,0.4212438925492236,0.3002009427392889,0.12104294980993474,0.0026751256543184766,0.0022963853368023726,0.0003787403175161039,0.12558193668528864,0.12942271880819367,-0.0038407821229050343,0.13935185185185184,0.11851851851851851,0.02083333333333333,0.7864350951276752,0.8095910867693563,-0.02315599164168114,0.7910194946015294,0.7926559352714464,-0.001636440669916972
balanced,6,0.5137885121708757,0.33909777782618494,0.1746907343446908,0.0038729730105118805,0.001916699962655728,0.0019562730478561528,0.11243016759776536,0.12104283054003724,-0.008612662942271879,0.11805555555555557,0.12083333333333333,-0.002777777777777768,0.7609077974284885,0.8017308533938604,-0.040823055965371946,0.8142924974586361,0.8124195248506754,0.00187297260796071
balanced,7,0.5091867068764978,0.38543093091465314,0.12375577596184467,0.0041158323376654015,0.0015796867011721749,0.0025361456364932267,0.10567970204841715,0.1076582867783985,-0.0019785847299813586,0.11203703703703705,0.09583333333333333,0.01620370370370372,0.7077302226732154,0.7488514720015034,-0.04112124932828798,0.7056985115901595,0.7425742608876879,-0.03687574929752835
balanced,8,0.5269238746962555,0.41127796923326815,0.11564590546298731,0.003731223114722529,0.0023973360091636793,0.0013338871055588496,0.11301210428305401,0.11522346368715085,-0.0022113594040968354,0.10694444444444444,0.10277777777777779,0.004166666666666652,0.7586694664536793,0.8119706814675903,-0.05330121501391105,0.7401059171741551,0.8269639929172513,-0.08685807574309623
balanced,9,0.4584871703229791,0.2882121977462904,0.17027497257668867,0.004515509283938705,0.0018941981621394463,0.0026213111217992585,0.12988826815642457,0.14466945996275607,-0.0147811918063315,0.1328703703703704,0.1277777777777778,0.005092592592592593,0.8056771966776837,0.8585243084114464,-0.052847111733762775,0.8143987529929109,0.8741931077214722,-0.059794354728561316
balanced,10,0.5114528858831139,0.3566528316766037,0.15480005420651016,0.0031796448216216255,0.0022859177281355433,0.0008937270934860821,0.11731843575418995,0.13081936685288642,-0.013500931098696475,0.1074074074074074,0.14259259259259258,-0.03518518518518518,0.7900532639701243,0.8196916023900372,-0.029638338419912924,0.7791158461146755,0.8077202588735364,-0.02860441275886083
balanced,11,0.5161504874659748,0.37918011950963804,0.13697036795633677,0.0038427211597355224,0.00332854860231955,0.0005141725574159726,0.1188314711359404,0.12721135940409684,-0.00837988826815643,0.1037037037037037,0.12962962962962962,-0.02592592592592592,0.7628988022011187,0.7967538993529673,-0.033855097151848534,0.7840257201676661,0.8071119619178386,-0.023086241750172487
balanced,12,0.4919839763616596,0.3582288379163508,0.13375513844530879,0.004591931868473216,0.0026299877966651343,0.0019619440718080814,0.1113826815642458,0.11999534450651768,-0.008612662942271879,0.13055555555555556,0.1125,0.01805555555555556,0.7705642005943865,0.8195053773271446,-0.04894117673275811,0.8158724200722463,0.8638211711284712,-0.04794875105622498
balanced,13,0.4552848683876,0.3299641039792637,0.12532076440833634,0.0037501615855155494,0.0027357072955786444,0.001014454289936905,0.1151070763500931,0.12278864059590316,-0.007681564245810069,0.1310185185185185,0.11481481481481481,0.016203703703703692,0.7797673686417338,0.8352025796141304,-0.055435210972396565,0.7663738512330421,0.8354272977184093,-0.06905344648536715
balanced,14,0.4922595743339057,0.3627254868954844,0.12953408743842132,0.004565766042949053,0.002536281096428517,0.002029484946520536,0.13873370577281194,0.1403631284916201,-0.0016294227188081711,0.1361111111111111,0.1412037037037037,-0.005092592592592593,0.7896562722479746,0.8584017594466657,-0.06874548719869111,0.8154473174411399,0.8341448030671825,-0.018697485626042676
balanced,15,0.4799041435360007,0.33645494217463856,0.14344920136136213,0.004103915400952179,0.0031811036549169924,0.0009228117460351867,0.1266294227188082,0.13605679702048415,-0.00942737430167595,0.14953703703703705,0.13009259259259257,0.019444444444444486,0.7616567654352093,0.8076947919537604,-0.046038026518551045,0.7809071857688363,0.813190040062132,-0.03228285429329569
balanced,16,0.5065295970326255,0.35553049227696426,0.1509991047556612,0.0033106763581942167,0.0020312392518620796,0.0012794371063321371,0.13233240223463685,0.1457169459962756,-0.01338454376163875,0.1416666666666667,0.14675925925925926,-0.005092592592592565,0.7927494748488347,0.8261756996165193,-0.03342622476768453,0.8110420598836194,0.8248485225917255,-0.013806462708106038
balanced,17,0.5591260991710588,0.3789808238721268,0.18014527529893204,0.003988790215766097,0.0024979521635256283,0.0014908380522404684,0.11091713221601489,0.12674581005586594,-0.01582867783985105,0.10555555555555556,0.11851851851851852,-0.012962962962962968,0.7636830630720584,0.8023330951010704,-0.03865003202901207,0.7687959788827221,0.8001363666299086,-0.031340387747186504
balanced,18,0.45940252592005537,0.3822914108064333,0.07711111511362206,0.0034460240910529406,0.002293206010168845,0.0011528180808840958,0.12441806331471135,0.13198324022346367,-0.007565176908752316,0.12638888888888888,0.13472222222222222,-0.008333333333333331,0.7736104014453965,0.8120951346300973,-0.0384847331847008,0.795233242360297,0.8713566728520433,-0.0761234304917463
balanced,19,0.5387432676725057,0.3844081229294283,0.1543351447430774,0.0043652559899434226,0.00361291544974167,0.0007523405402017525,0.10858938547486034,0.1220903165735568,-0.013500931098696461,0.12685185185185185,0.12546296296296297,0.001388888888888884,0.7515551659370185,0.7728593094789564,-0.02130414354193788,0.7517560254942197,0.7754464036170345,-0.023690378122814826
balanced,20,0.5238747949405061,0.37865404470909564,0.1452207502314105,0.003989369158474156,0.0019071004617432575,0.0020822686967308986,0.1212756052141527,0.12488361266294228,-0.0036080074487895714,0.14722222222222223,0.1337962962962963,0.013425925925925924,0.7314017719587195,0.8192010284413196,-0.08779925648260012,0.7634741764219399,0.8525522226795255,-0.08907804625758553
balanced,21,0.49302045732580274,0.3608329169943188,0.13218754033148394,0.0035715334775388036,0.0024770901615411116,0.001094443315997692,0.12441806331471135,0.13314711359404097,-0.008729050279329617,0.11851851851851852,0.13379629629629627,-0.015277777777777751,0.7798266475836677,0.8378349453152085,-0.058008297731540814,0.7958730259216403,0.8137995761710332,-0.017926550249392825
balanced,22,0.41684749411023353,0.33546857434319577,0.08137891976703776,0.0030073097669813626,0.001847476852704644,0.0011598329142767187,0.12150837988826817,0.13151769087523277,-0.0100093109869646,0.13194444444444445,0.1310185185185185,0.0009259259259259411,0.7736871475176272,0.8158543093394486,-0.04216716182182134,0.7900299983349908,0.7759001422739916,0.014129856060999146
balanced,23,0.39790273345682725,0.3061456998170186,0.09175703363980864,0.0034170203535529966,0.0017297859938308082,0.0016872343597221884,0.13442737430167598,0.14059590316573556,-0.00616852886405958,0.15138888888888888,0.13749999999999998,0.013888888888888895,0.8220362537902124,0.8849306807089634,-0.06289442691875102,0.8405999668047659,0.8997219225121169,-0.059121955707351015
balanced,24,0.4561462165071796,0.388216404042228,0.06792981246495161,0.00296742860755239,0.002084305859020166,0.0008831227485322241,0.12441806331471135,0.12523277467411545,-0.0008147113594040994,0.10925925925925924,0.13009259259259257,-0.02083333333333333,0.754497820871934,0.8165490919456165,-0.06205127107368258,0.7644098469651454,0.8220899484780311,-0.05768010151288572
balanced,25,0.5160607567580672,0.417142429215794,0.0989183275422732,0.004324337295047583,0.0021796999761213107,0.002144637318926272,0.12802607076350092,0.12965549348230912,-0.0016294227188081989,0.14722222222222223,0.13009259259259257,0.01712962962962966,0.7399621032049956,0.7971658246201264,-0.05720372141513086,0.7366947458242425,0.769921723965985,-0.03322697814174247
balanced,26,0.4346668203986077,0.3450107083174137,0.089656112081194,0.0037707746425663623,0.0019689302203370015,0.0018018444222293608,0.11836592178770951,0.12651303538175046,-0.008147113594040953,0.14953703703703705,0.11759259259259258,0.03194444444444447,0.7713656160837247,0.8140507633218254,-0.042685147238100685,0.8540697496386678,0.8147208271805122,0.03934892245815558
balanced,27,0.4985895006893661,0.3464472660530416,0.15214223463632448,0.0038227128595113864,0.0032255510257191847,0.0005971618337922016,0.11149906890130352,0.1133612662942272,-0.0018621973929236757,0.11296296296296297,0.12314814814814816,-0.010185185185185186,0.7825606941075497,0.8276749706222591,-0.04511427651470945,0.7558911278234867,0.8410447303079969,-0.0851536024845102
balanced,28,0.40302068371255934,0.3373484691984345,0.06567221451412486,0.003247381109590469,0.0024179315446626907,0.0008294495649277781,0.14164338919925512,0.1474627560521415,-0.005819366852886393,0.15601851851851853,0.13842592592592592,0.017592592592592604,0.8243093222927182,0.886405652797189,-0.06209633050447072,0.913738342304758,0.9550920723096091,-0.0413537300048511
balanced,29,0.43644390219449436,0.34467795647016963,0.09176594572432473,0.0033926195925203396,0.003399590434265162,-6.9708417448225216e-06,0.12395251396648044,0.1269785847299814,-0.0030260707635009487,0.12314814814814816,0.11759259259259258,0.0055555555555555775,0.7694114530164733,0.830350274824421,-0.06093882180794774,0.8161969386670764,0.8016390132997928,0.01455792536728362
balanced,30,0.41238144611813216,0.3158588188234466,0.09652262729468558,0.004780634890256711,0.002636993102359237,0.0021436417878974738,0.1336126629422719,0.14338919925512103,-0.009776536312849138,0.14629629629629629,0.15231481481481482,-0.006018518518518534,0.7752315509355476,0.8291422821906809,-0.05391073125513324,0.7916015348039823,0.7911787145275307,0.00042282027645157427
balanced,31,0.4473774187295391,0.36956769644387905,0.07780972228566008,0.004206273548888206,0.0023799027320485196,0.001826370816839686,0.12197392923649908,0.13047020484171323,-0.008496275605214154,0.1375,0.14444444444444446,-0.0069444444444444475,0.777145687841259,0.8179199775238355,-0.04077428968257646,0.8114177836988712,0.8003641678912394,0.011053615807631756
