regime,subject,full_decode_acc,shuffle_decode_acc,full_entropy,shuffle_entropy,full_silhouette,shuffle_silhouette
balanced,0,0.6493442622950819,0.33114754098360655,0.3101234115025527,0.6246699831317443,0.05328978029175754,-0.01770876904406796
balanced,1,0.5582980439604759,0.31275458761847147,0.5143664292543106,0.7187378138499719,0.006349495465675516,-0.020035658071011098
balanced,2,0.5593114665220927,0.3319779524713111,0.5162681648952133,0.7176964112753093,0.007598561718756166,-0.018665744680883074
balanced,3,0.6863523187052598,0.35122938064114534,0.4807662969293143,0.7851006793037182,0.03373196919620765,-0.022545498508767567
balanced,4,0.8266381766381766,0.3544871794871795,0.35235124948376717,0.8192801463972071,0.07941596433010865,-0.01811464107513313
balanced,5,0.7752946738795794,0.30983272492706454,0.5044930753637852,0.8872253910405664,0.050472605064024754,-0.008971694299497929
balanced,6,,,,,,
balanced,7,0.5433702933702934,0.353950103950104,0.5986324992479145,0.8176257626135105,0.014726380435937495,-0.013054173270990432
balanced,8,0.7392438156697277,0.30880615537354184,0.5712755532837398,0.9073360391607562,0.05061190373965303,-0.019625603563867618
balanced,9,0.5279754062362758,0.3422266139657444,0.5346690459208492,0.711770478181904,0.007906812461909652,-0.011535940638076158
balanced,10,0.713331031215828,0.32861620602180813,0.4813296923445146,0.7875575165151736,0.04536140058897864,-0.02345127209761905
balanced,11,0.6679284347044807,0.3340345325989296,0.5078843781869934,0.8365046772604872,0.04477912694625987,-0.012097152072048218
balanced,12,0.7937430011198208,0.37915266890630833,0.48167179702423085,0.8286836034411885,0.028963515350133986,-0.017341498301773676
balanced,13,0.6487252698296985,0.36004900471822293,0.535809421025601,0.8320318321176494,0.03403428653591239,-0.015336924554620868
balanced,14,0.707865860633739,0.3102280826799715,0.5003688317102575,0.844655165754939,0.02995015155759617,-0.015085820639398277
balanced,15,0.7105024605024605,0.3782375032375032,0.5211065145907805,0.8445701920126119,0.03248668409188425,-0.019261192916058354
balanced,16,0.7455379292335813,0.2972222222222222,0.3274478216315089,0.6752621124543488,0.0650290974649654,-0.02000035577634177
balanced,17,0.7366883116883116,0.3638916638916639,0.4273333264186686,0.7587314960189384,0.03604288392951532,-0.02175127054864264
balanced,18,0.6634745094896556,0.3524105906603803,0.5385509750637848,0.7981637269766896,0.0468786289953748,-0.022701452147255722
balanced,19,0.6666666666666666,0.4083333333333334,0.43940605289831325,0.6874907636178611,0.03515981018179645,-0.01175520485774073
balanced,20,0.657472315979048,0.34014976365037564,0.5764568896950096,0.8285893053351141,0.021559605036617566,-0.016836021987269446
balanced,21,0.6868669495088483,0.30246913580246915,0.44484089620564404,0.8024108569102752,0.02567358619433808,-0.009324219771735419
balanced,22,0.7941281297335827,0.33797940453914793,0.30453248771147795,0.7252329303584237,0.0877710873516469,-0.027903802754565513
balanced,23,0.6516590066118368,0.324685534591195,0.5188432046828928,0.7932121960454471,0.01575320733650363,-0.018930907223169365
balanced,24,0.7810488346281909,0.3679430262671106,0.3492671645047756,0.7583789230327868,0.05981163269377469,-0.01238907021843111
balanced,25,0.7907477025898079,0.32590757196020353,0.43587007489931723,0.8329112296715319,0.07271371776873986,-0.010841491090758494
balanced,26,0.7003783684016242,0.32358803986710966,0.41751732931728375,0.8424819406703978,0.06026218973904251,-0.009212621020231595
balanced,27,0.7043393114821687,0.38034683570397854,0.3870107723981165,0.7385042372403358,0.09205156436443852,-0.013356329850615042
balanced,28,0.7642013384937915,0.3145964360587002,0.36163048897929617,0.7854933187496131,0.0754549950996915,-0.037802887895175045
balanced,29,0.665880087038344,0.30518309417391987,0.46317129806521046,0.7913030694930885,0.04244229619410448,-0.028010750211113933
balanced,30,0.7161571231338674,0.3049203049203049,0.4460593783851807,0.7592209203516679,0.03241248532922581,-0.008399415349989952
balanced,31,0.8368276000580209,0.26854155741271774,0.3776275631949168,0.8758071762810142,0.07034732139808576,-0.01673295844196331
hypo_support,0,0.5352939228349065,0.319344262295082,0.5503388810530508,0.6945931855550173,-0.005540922367797081,-0.024207483955593606
hypo_support,1,0.5218367346938776,0.3764030612244898,0.6380905803565691,0.8437556342919476,0.00731672119988098,-0.01786619803252504
hypo_support,2,0.38060088060088054,0.3356125356125356,0.69220969113433,0.7322010754163936,-0.03128364130897614,-0.01570550082818844
hypo_support,3,0.4052661361626879,0.30133333333333334,0.5653209983349772,0.6395960418541503,-0.02030654394736295,-0.009989764409920738
hypo_support,4,0.47181818181818186,0.32181818181818184,0.6558379526080801,0.7350255058738033,-0.019024664396973513,-0.021273150685386058
hypo_support,5,0.4604913636421408,0.33098836199409415,0.7467439829335114,0.8106753889616628,-0.008210786381992534,-0.021575746395448986
hypo_support,6,0.49562645363535235,0.34565341962449864,0.5844635771104056,0.7275935271690557,-0.01604679737486346,-0.025680869042807745
hypo_support,7,0.45702050935316657,0.3477349560513861,0.6357598567190054,0.6982889402543256,0.009059668821441604,-0.01269726742494209
hypo_support,8,0.5162800162800162,0.3247863247863248,0.5902903300153738,0.7525028598816571,-0.011792414808294517,-0.005472645247302413
hypo_support,9,0.4728092400458605,0.3476034102865339,0.6427641599275331,0.7520431305837799,0.001828470139326219,-0.020985483734518657
hypo_support,10,0.49810298102981027,0.3538521099496709,0.5407754776136728,0.6376582086166818,0.0055122211546772505,-0.021793084859068973
hypo_support,11,0.38207671957671957,0.3194444444444445,0.4290929249535864,0.4996424733488043,-0.01363131124335662,-0.03849738721567876
hypo_support,12,0.45743524870659596,0.3684863523573201,0.5598994793505779,0.6444825059386621,-0.017004424327011672,-0.004929156898397648
hypo_support,13,0.45642135642135645,0.3630411255411255,0.6553887727199003,0.7360801619055644,0.0032121013394921277,-0.0026287907098341604
hypo_support,14,0.48755377413914003,0.33438038925843805,0.46413987194919143,0.6175313187916691,-0.01424135255649522,0.003571552328473343
hypo_support,15,0.4613844613844614,0.3314083314083314,0.578521600056651,0.7511599253413547,-0.0026920585788906635,-0.02154629416181642
hypo_support,16,0.5088909826442635,0.32993098084961603,0.5015026119592636,0.6600935386493232,0.004348001663834863,-0.022460108648658276
hypo_support,17,0.3613633372812212,0.3484669035399395,0.38883079460507525,0.4263725705565277,-0.05069574370801974,-0.043726228031002456
hypo_support,18,0.4721505376344086,0.3359139784946237,0.5620429630800707,0.6889752347134303,-0.013357154094800632,-0.015269825737642701
hypo_support,19,0.4799387604265653,0.34306479428430653,0.5685826597894726,0.6907843823003085,-0.009253849923855147,-0.021220880770149653
hypo_support,20,0.43044458886043047,0.30889092770280885,0.737888343814075,0.8146465868266429,-0.005091909479087661,-0.011720689716345966
hypo_support,21,0.570215744400527,0.336459705753184,0.5680980353383235,0.7595783000766014,-0.004353255726775566,-0.009921595468954273
hypo_support,22,0.5297902944961769,0.3076160193807253,0.5932004667698937,0.7613058875829907,0.010316871243124848,-0.011970816992264554
hypo_support,23,0.48369138491873737,0.2883304110656536,0.6239401442543793,0.7033773261179735,0.010532528373692217,-0.03978421548378823
hypo_support,24,0.5922557172557172,0.34159159159159164,0.5786634202020488,0.7887949162073526,0.021166656246751722,-0.002613795502973231
hypo_support,25,0.5738934056007227,0.3237579042457091,0.4445129640728647,0.6084015423392183,0.019501414536057155,-0.006198113580190893
hypo_support,26,0.5734492494846558,0.27656018639491337,0.6636540618628968,0.8742899310620607,0.0004932682950972304,-0.023098716985846802
hypo_support,27,0.5266258169934641,0.3134150326797386,0.7103894794463356,0.8527085132712184,0.0015778302791950298,-0.02562538257309033
hypo_support,28,0.3770027456295833,0.34793035137107703,0.4591769180724013,0.5304268647174306,-0.010094021102063254,-0.033092393370263144
hypo_support,29,0.5282063645130183,0.35770920390013927,0.752381103048418,0.8969211262713519,0.003404736978842668,-0.016506232831493974
hypo_support,30,0.5065480895915678,0.3384321475625824,0.48156817048018374,0.570890784680474,-0.00637198297802556,-0.007663315151915024
hypo_support,31,0.5046296296296297,0.30833333333333335,0.5096765364590486,0.6952370998441716,0.020713818531255517,-0.02455088717631918
over_stabilization,0,0.8083635213616237,0.3700477258352021,0.2092409413748324,0.5818068436554458,0.10825479100025469,-0.012462005078659412
over_stabilization,1,0.5900376647834276,0.34517890772128057,0.3623684014625498,0.6719495917854859,0.014150596788972323,-0.06854401614597755
over_stabilization,2,0.617331206804891,0.3171052631578947,0.46012645274401176,0.6900533764243261,0.021528633901855235,-0.00546565798617537
over_stabilization,3,0.6663260250216773,0.3263888888888889,0.24685523517203162,0.4650291783648576,0.0237149972660372,-0.007266472438271356
over_stabilization,4,0.6681681681681683,0.3351078351078351,0.18804052031425844,0.5767622828370106,0.12997766645190853,-0.039009017723527904
over_stabilization,5,0.730738197349611,0.2823120302400435,0.47506823343254245,0.8165611236166678,0.019123072053043796,-0.018282001049689512
over_stabilization,6,0.6696846513919685,0.3143631436314363,0.439268544880758,0.6723618169725901,0.045054424844242075,-0.014360915821991392
over_stabilization,7,0.6482683982683982,0.3373737373737374,0.429645815979886,0.745142331428856,0.06182953715799554,-0.017542229942134006
over_stabilization,8,0.8079353750995542,0.4232751695438262,0.4425873752054426,0.8102383969111047,0.060422513752210416,-0.008149812381956716
over_stabilization,9,,,,,,
over_stabilization,10,0.7324204820995579,0.2947511054057909,0.5454105684547501,0.8699573325564472,0.04818875648639496,-0.018777976175068194
over_stabilization,11,0.7467033254778738,0.3987989875185476,0.4728986288595685,0.8454148304315405,0.06182033439419849,-0.009611384400978019
over_stabilization,12,0.7949232406140752,0.36040051679586566,0.3509312580173337,0.6395730881621401,0.03902556171595194,-0.007405174747509174
over_stabilization,13,0.6934241934241934,0.37549087549087545,0.4365135888504094,0.6752831523558933,0.03826678930848133,-0.009578039998552935
over_stabilization,14,0.5965386154461785,0.31802721088435376,0.4732712066070459,0.7503659880565204,0.02513398393728563,-0.009787402852817739
over_stabilization,15,0.7300214842615906,0.4207563304670055,0.3949076137361658,0.7153650076489779,0.06709145774278534,-0.003926333951252311
over_stabilization,16,0.773481587757054,0.31850789096126253,0.29910288071356445,0.7013999163287944,0.06438049302069372,-0.026985004156039348
over_stabilization,17,0.691390186449475,0.33604157517201,0.35480694990989353,0.6887589415267824,0.06057117453186584,-0.029710312080605136
over_stabilization,18,0.6036565561318037,0.31824611032531824,0.34484180069738285,0.6927541553202154,0.03616663878665871,-0.006337843372693073
over_stabilization,19,0.7583333333333333,0.3263888888888889,0.21300449251011133,0.522822328475677,0.05252286879063599,-0.026925988771260338
over_stabilization,20,0.7698958018725461,0.3009952395334455,0.4845006502804435,0.8325617960593222,0.05686435081038339,-0.008175366919251142
over_stabilization,21,0.717739003998546,0.3352235550708833,0.24602796023628298,0.6124721790311884,0.0776696433711972,-0.005333671951002991
over_stabilization,22,0.7857399910031488,0.32748538011695905,0.30391186536297293,0.7493523486056505,0.09045621214375951,-0.01600681730360309
over_stabilization,23,0.6725571725571727,0.3257103257103257,0.4128152543234488,0.7306557014681607,0.030992290870881303,-0.01332454746741921
over_stabilization,24,0.871617165099772,0.40222372589425764,0.3216172201928391,0.8212382129128514,0.10096689560008162,-0.009727686365188844
over_stabilization,25,0.8561509765196401,0.3935044985736231,0.3431306051691688,0.794417792852344,0.08837769634807727,-0.009789752742134067
over_stabilization,26,0.7751984126984127,0.3370039682539683,0.3415252385261886,0.6829707683228636,0.0579350877124,-0.0011356013654086107
over_stabilization,27,0.7855741492692396,0.36952100679490857,0.4452782616725633,0.8504796462706514,0.05674809801178665,-0.01325954967240712
over_stabilization,28,0.6848450057405282,0.342920015308075,0.2672235424740379,0.6070156355659522,0.09597244237742257,-0.018643845403030327
over_stabilization,29,0.613094748388866,0.35967365967365966,0.2658949757846564,0.4782284034164271,0.050113945209335445,0.015045666570812037
over_stabilization,30,0.7519621300109106,0.2426354133671207,0.4431889131090502,0.8055095452521025,0.0584750581750219,-0.010448143537042976
