regime,subject,mean_pi,mean_theta,mean_chi,mean_debt_q,mean_stress,stress_sd,decode_acc,balanced_decode_acc,posterior_entropy,silhouette,plv,pac,phase_slip_rate,boundary_phase_slip_rate,loop_instability,boundary_loop_instability,transition_latency,rest_to_task_latency,task_to_rest_latency,hysteresis,task_dwell,update_failure_rate,perseveration_after_switch,hysteresis_abs,z_balanced_decode_acc,z_silhouette,z_plv,z_pac,z_posterior_entropy,z_phase_slip_rate,z_boundary_phase_slip_rate,z_loop_instability,z_boundary_loop_instability,z_transition_latency,z_update_failure_rate,z_perseveration_after_switch,z_hysteresis_abs,stability_support_index,instability_index,transition_burden_index,precision_phase_margin,adaptive_margin,flexibility_index,above_adaptive_crit
balanced,0,0.37881873551805445,0.4482905912611138,0.6763466157717484,1.525515949407925,0.020318829439356565,0.9505058668334685,0.85,0.6493442622950819,0.3101234115025527,0.05328978029175754,0.44447570608296,0.0034177656914315575,0.12092644320297952,0.13935185185185184,0.7606355944651226,0.7913549350334752,8.222222222222221,2.0,0.0,2.0,6.25,0.2222222222222222,0.4444444444444444,2.0,0.19921040505864074,0.7266784032352297,0.3847681128987079,0.07942994476892225,-1.3950095033233405,-0.7125539391189529,-0.7273542997861044,-0.7612618658437813,-0.7664155799297697,0.32573427005048256,0.8109792935637573,-1.161804953634436,-1.0786711228265042,0.3475217164903751,-0.8725190376003897,-0.2759406282116751,1.220040754090765,1.49598138230244,0.2759406282116751,False
balanced,1,0.44182196554945374,0.44544695817480456,0.6789802158974605,1.5301309910542416,0.03888706823797573,1.1089570218689544,0.7555555555555555,0.5582980439604759,0.5143664292543106,0.006349495465675516,0.5021961773868577,0.0035360330157021167,0.1298882681564246,0.15231481481481482,0.7944071981902232,0.7938265845555108,3.0,0.6666666666666666,0.0,0.6666666666666666,5.625,0.0,0.0,0.6666666666666666,-0.5942606608762055,-0.6687189500312041,0.7625723637260379,0.22517249175065565,0.33338677436267217,-0.6382975504067485,-0.6400873671925921,-0.6425314812319934,-0.7602563923487731,-1.3304670218897676,-1.0695524016565496,-1.41140386948742,-1.3019768057017953,-0.06880868885767902,-0.46955720336348694,-1.278350024683883,0.40074851450580795,1.6790985391896909,1.278350024683883,True
balanced,2,0.4136156228670013,0.43453552422265507,0.6738022998570379,1.5404966606566894,0.11170430276060522,1.0135381569699984,0.7444444444444445,0.5593114665220927,0.5162681648952133,0.007598561718756166,0.42980573144994777,0.003544637419443706,0.12779329608938547,0.1439814814814815,0.7688305029934505,0.8115637267325977,2.6666666666666665,3.0,1.0,2.0,4.428571428571429,0.0,1.1111111111111112,2.0,-0.5854286468187594,-0.6315878642258894,0.28874708862985626,0.23577582385690643,0.34948011669114315,-0.6556561867290822,-0.6961875381455642,-0.7324511333317325,-0.7160566039703983,-1.4361819979710602,-1.0695524016565496,-0.7874065798549601,-1.0786711228265042,-0.17312339963947157,-0.4901742690971268,-1.0929530255772686,0.31705086945765526,1.4100038950349238,1.0929530255772686,False
balanced,3,0.39018000863942587,0.45125415150204345,0.6988243580786468,1.555096237801184,0.07413876255548923,0.9364542667124184,0.7555555555555555,0.6863523187052598,0.4807662969293143,0.03373196919620765,0.45103257496822685,0.003019662141461468,0.11964618249534452,0.12638888888888888,0.7368422336927489,0.7952105021992627,3.7777777777777777,10.666666666666666,0.0,10.666666666666666,7.0,0.0,2.888888888888889,10.666666666666666,0.5217369471280923,0.1452818919117362,0.4276855195139237,-0.41115886065950935,0.04904734244698144,-0.7231619946492678,-0.8146212323796166,-0.8449118724797201,-0.756807760862583,-1.0837987443667516,-1.0695524016565496,0.21098908355697554,0.37281581586288826,0.1708863744735607,-0.6180911035848412,-0.39238656165085933,0.7889774780584019,1.1813640397092613,0.39238656165085933,False
balanced,4,0.4203143452208863,0.44981034694021177,0.6788211937764522,1.5059424174464704,0.15374935668758466,0.9525214753007383,0.8666666666666667,0.8266381766381766,0.35235124948376717,0.07941596433010865,0.41634224674423903,0.004096085864989723,0.1266294227188082,0.12453703703703704,0.7795907360436076,0.7729235502858761,6.777777777777778,4.0,0.0,4.0,5.0,0.1111111111111111,3.0,4.0,1.7443332423473823,1.5033334276591583,0.20062303770198345,0.9153337785049172,-1.037658545700061,-0.6652998735748229,-0.8270879370358326,-0.694621523018969,-0.8123453750022072,-0.1323639596351184,-0.1292865540463961,0.27338881252022157,-0.7437125985135675,1.0909058715533604,-0.8074026508663785,-0.1829935749187151,1.898308522419739,2.081302097338454,0.1829935749187151,True
balanced,5,0.452462781212913,0.4224127358569922,0.5952917591333508,1.4516808463791244,0.031649725574952034,0.9692254853561927,0.8055555555555556,0.7752946738795794,0.5044930753637852,0.050472605064024754,0.4212438925492236,0.0026751256543184766,0.12558193668528864,0.13935185185185184,0.7864350951276752,0.7910194946015294,4.444444444444445,9.666666666666666,2.0,7.666666666666666,6.625,0.1111111111111111,1.4444444444444444,7.666666666666666,1.2968727699863019,0.642932024809298,0.23270632772612562,-0.8357361940359332,0.2498340130467273,-0.6739791917359897,-0.7273542997861044,-0.6705588994880485,-0.7672514753608108,-0.8723687922041664,-0.1292865540463961,-0.6002073929652222,-0.1296219706065169,0.334193732121448,-0.5178619706648453,-0.4328711774555754,0.8520557027862933,1.2849268802418687,0.4328711774555754,False
balanced,6,0.4356511184033971,0.4900928714557742,0.6899260551029279,1.5287163663216752,-0.14705281054313757,1.3116928544048572,,,,,0.5137885121708757,0.0038729730105118805,0.11243016759776536,0.11805555555555557,0.7609077974284885,0.8142924974586361,4.0,5.0,0.0,5.0,5.875,0.0,1.6666666666666667,5.0,,,0.838448967978917,0.6403885569357145,,-0.7829528530928609,-0.8707214033325886,-0.7603048854529191,-0.7092566873085242,-1.01332209364589,-1.0695524016565496,-0.4754079350387302,-0.5762333363570992,0.7394187624573157,-0.7808089572967232,-0.7836289416745672,1.5202277197540388,2.303856661428606,0.7836289416745672,True
balanced,7,0.446339795066545,0.5120470506670934,0.6007932291355123,1.397148403441526,-0.24169973658622673,0.9341468833711815,0.65,0.5433702933702934,0.5986324992479145,0.014726380435937495,0.5091867068764978,0.0041158323376654015,0.10567970204841715,0.11203703703703705,0.7077302226732154,0.7056985115901595,5.0,11.666666666666666,0.5,11.166666666666666,6.5,0.1111111111111111,2.111111111111111,11.166666666666666,-0.7243565439283797,-0.41969866480221496,0.8083282575546712,0.9396676445106688,1.0464841586228022,-0.8388862367981574,-0.9112381934652908,-0.9472605880843277,-0.9798657373251268,-0.6961771654020121,-0.1292865540463961,-0.22580901918574628,0.45655544694112243,0.15098517333368633,-0.5261533194100201,-0.14867932292325803,0.6771384927437064,0.8258178156669644,0.14867932292325803,False
balanced,8,0.39929653783583346,0.492672911691212,0.6477181923284804,1.4745389067583232,-0.07265318741837956,0.9860897900477292,0.7611111111111111,0.7392438156697277,0.5712755532837398,0.05061190373965303,0.5269238746962555,0.003731223114722529,0.11301210428305401,0.10694444444444444,0.7586694664536793,0.7401059171741551,3.4444444444444446,4.0,5.0,-1.0,5.1,0.0,2.7777777777777777,1.0,0.9826882446443601,0.6470729669447239,0.9244253241337109,0.4657080949048497,0.814977377662453,-0.7781310096699904,-0.945521631269885,-0.7681741563258936,-0.894124752093238,-1.1895137204480442,-1.0695524016565496,0.14858935459372952,-1.2461503849829727,0.7549736576569112,-0.5141948343393108,-0.8391567881234593,1.269168491996222,2.1083252801196815,0.8391567881234593,True
balanced,9,0.43616136197155997,0.44872785749471283,0.7234163834303458,1.5780882110980454,0.05874231635254823,1.2460334614746322,0.6944444444444444,0.5279754062362758,0.5346690459208492,0.007906812461909652,0.4584871703229791,0.004515509283938705,0.12988826815642457,0.1328703703703704,0.8056771966776837,0.8143987529929109,4.888888888888889,0.6666666666666666,0.0,0.6666666666666666,4.0,0.0,0.7777777777777778,0.6666666666666666,-0.8585235387538266,-0.622424471359134,0.4764789155067398,1.432195369129641,0.5051966480122168,-0.6382975504067488,-0.7709877660828603,-0.6029096952521965,-0.7089919055256368,-0.7314154907624428,-1.0695524016565496,-0.9746057667446981,-1.3019768057017953,0.10693156863085501,-0.44319805385104516,-1.0193876162163713,0.5501296224819001,1.5695172386982714,1.0193876162163713,True
